,Value,Momentum
2000-01-31,0.0,0.0
2000-02-29,0.25000277963610296,0.7499972203645002
2000-03-31,3.6859479190782383e-06,0.9999963120853081
2000-04-30,0.2500071404686631,0.7499928595312847
2000-05-31,0.5000354793556439,0.49996452064436536
2000-06-30,0.25003149424282806,0.7499685057544706
2000-07-31,0.5000492650387984,0.4999507349612287
2000-08-31,0.7500371742878501,0.2499628257115373
2000-09-30,0.5000445251399042,0.4999554748587366
2000-10-31,0.4999737469916607,0.500026252997356
2000-11-30,0.7499841639460146,0.25001583605357275
2000-12-31,0.9999808650108276,1.9124628282969547e-05
2001-01-31,0.7499771604468285,0.25002283955313936
2001-02-28,0.4999876008458178,0.50001239915417
2001-03-31,0.24998090362566108,0.7500190963741852
2001-04-30,0.2500128912017744,0.7499871087990319
2001-05-31,0.5000132101577166,0.49998678984228456
2001-06-30,0.7500123117498386,0.24998768824943188
2001-07-31,1.0000101034576272,-1.0098232782677485e-05
2001-08-31,1.0000220875567243,-2.2075264424863046e-05
2001-09-30,0.7500232314630141,0.249976768537102
2001-10-31,1.0000078060571438,-7.80245985166326e-06
2001-11-30,0.7500131799710775,0.24998682003131423
2001-12-31,0.5000030368994026,0.49999696310175007
2002-01-31,0.750007679014578,0.24999232098449206
2002-02-28,1.0000015949615457,-1.594344342509534e-06
2002-03-31,0.750009375159876,0.2499906248402087
2002-04-30,0.5000097289205204,0.4999902710794612
2002-05-31,0.2500046479192251,0.7499953520804555
2002-06-30,-1.0290815824655663e-06,1.0000010298046778
2002-07-31,1.0408440668838756e-05,0.9999895858959655
2002-08-31,-8.377950347712199e-06,1.0000083825835435
2002-09-30,0.2499912617166047,0.7500087382816815
2002-10-31,-1.1632327864464766e-06,1.000001163601056
2002-11-30,3.936446415711753e-06,0.9999960614367569
2002-12-31,0.25000019616809843,0.7499998038314781
2003-01-31,1.6209111453485588e-06,0.9999983782255258
2003-02-28,-7.587948592671472e-06,1.0000075919527054
2003-03-31,1.4589578864833865e-05,0.9999854022805335
2003-04-30,0.2500062536545705,0.7499937463461206
2003-05-31,0.4999874970145904,0.5000125029847705
2003-06-30,0.7499976089504244,0.2500023910485378
2003-07-31,1.0000087105371323,-8.705305100652578e-06
2003-08-31,0.7500024620691624,0.24999753793085838
2003-09-30,0.4999967749837361,0.5000032250162706
2003-10-31,0.25000719546267197,0.7499928045388576
2003-11-30,1.1380013795938604e-05,0.9999886136883337
2003-12-31,0.25001993245956017,0.7499800675397622
2004-01-31,0.500017972026287,0.4999820279724646
2004-02-29,0.49996736124421387,0.5000326387569637
2004-03-31,0.5000512524037758,0.499948747596043
2004-04-30,0.25003121024934233,0.7499687897506626
2004-05-31,0.5000194195333546,0.49998058046665217
