,Annualized Sharpe Ratio,Cumulative Return,Avg Monthly Turnover
MPC,0.11270393990448102,-1.0,1.0208056499205707
Static MV,0.1608046809162654,-0.9999999999999993,0.0
Equal-Weight,0.15318595686195355,-0.9999999999999953,0.0
