,5.07,-0.8,1.8,0.36,-0.35,0.25,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,5.07_zscore,-0.8_zscore,1.8_zscore,0.36_zscore,-0.35_zscore,0.25_zscore
461,-2.29,-0.36,2.16,8.07,5.11,0.13,1106.73,15.73333333,24.69666667,0.130119086,0.0172,0.0651,0.0789,0.0563,0.01250352,0.001433333,0.003952569,0.0115,0.013,0.002567832,-0.001820755,-0.019481,-0.020973,-0.6438561570816818,-0.19613267836576836,0.6623806908628498,3.5888957193907434,2.446864136283127,-0.9416949281948934
462,4.24,4.25,1.06,-1.78,0.58,0.13,1147.39,15.73,24.7,0.236833402,0.0179,0.0681,0.0811,0.0604,0.013764069,0.001491667,0.005624297,-0.0436,-0.0295,0.002014824,-0.00223859,0.037572,0.03669,0.8439527509864364,1.334711195584055,0.26997606871051144,-0.933808823586022,0.15263260996903302,-0.9416949281948934
463,-5.2,6.72,3.88,4.56,5.38,0.15,1076.92,15.833,25.38,0.247732313,0.0171,0.0676,0.0803,0.0575,0.015112609,0.001425,0.005592841,0.041,0.0253,0.002319717,-0.002047518,-0.061001,-0.061826,-1.30687666588386,2.1549247245766936,1.2759588273192333,1.9772517654975,2.583606412685954,-0.8660055195438324
464,-1.38,-3.02,1.53,2.36,2.44,0.14,1067.14,15.936,26.06,0.248255614,0.0173,0.0675,0.0809,0.0578,0.022287838,0.001441667,0.0,0.0015,0.0113,0.004101625,-0.002141779,-0.0078,-0.009438,-0.43651984676897304,-1.079439555742456,0.4376398618119651,0.9671045579290853,1.09463495852184,-0.9038502238693629
465,-7.21,3.89,-0.05,3.93,2.51,0.13,989.81,16.039,26.74,0.266572502,0.017,0.0663,0.0795,0.0566,0.027534947,0.001416667,0.000556174,0.0187,0.0073,0.003707969,-0.002606791,-0.071349,-0.072611,-1.7648392853657768,1.2151659039090146,-0.12599586818866634,1.687982337875636,1.1300866598114614,-0.9416949281948934
466,-8.18,-6.43,-3.85,3.79,-0.99,0.15,911.62,15.959,27.84,0.282032194,0.0168,0.0653,0.079,0.0544,0.02845465,0.0014,0.001111729,0.0303,0.0094,0.015342791,-0.002420535,-0.073987,-0.075074,-1.9858461216331698,-2.211799124108811,-1.4815754719876533,1.623700242848555,-0.6424984046696265,-0.8660055195438324
467,0.5,-1.31,3.28,1.36,-1.47,0.14,916.07,15.879,28.94,0.284411556,0.0162,0.0637,0.0758,0.051,0.024756063,0.00135,0.003331483,0.0464,0.0452,0.009409278,-0.002908499,0.007061,0.005401,-0.008176700188871695,-0.511599420286014,1.061919942508867,0.5079467363070788,-0.8855957849413186,-0.9038502238693629
468,-10.35,3.08,1.47,3.29,-2.19,0.14,815.29,15.799,30.04,0.324555155,0.0163,0.0615,0.074,0.048,0.029309111,0.001358333,0.00166021,0.0417,0.033,0.007366061,-0.003212615,-0.108965,-0.110421,-2.4802634769942435,0.9461889976401735,0.41623597333092843,1.3941213320375516,-1.2502418553488566,-0.9038502238693629
469,7.84,-4.31,-3.95,-3.39,0.76,0.14,885.76,15.89066667,29.22333333,0.293437064,0.0158,0.0632,0.0773,0.0508,0.025679358,0.001316667,0.001657459,-0.0294,-0.024,0.011589679,-0.003753366,0.088599,0.087103,1.6641843082674814,-1.507810184244684,-1.517248619456048,-1.673052916397453,0.2437941275709176,-0.9038502238693629
470,5.96,2.91,-1.23,-9.2,5.15,0.12,936.31,15.98233333,28.40666667,0.276975499,0.0123,0.0631,0.0762,0.0521,0.022914967,0.001025,0.0,-0.0122,0.013,0.004449081,-0.004166387,0.059019,0.057288,1.2358411616873801,0.8897370543491823,-0.5469390083157202,-4.34075986002131,2.4671222513057685,-0.9795396325204239
471,-5.76,0.62,2.14,6.29,-1.68,0.11,879.82,16.074,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.02573892,0.000991667,-0.002206288,0.0507,0.0361,0.00263948,-0.004144305,-0.058834,-0.060464,-1.4344682414609113,0.1292961711940639,0.655246061369171,2.7715947969035715,-0.9919508888101839,-1.0173843368459543
472,-2.57,0.7,-0.83,-0.99,0.69,0.1,855.7,16.124,28.5,0.305942307,0.0117,0.0617,0.0735,0.0495,0.028296107,0.000975,0.004422333,-0.0106,0.0021,0.005167513,-0.004144305,-0.026579,-0.02786,-0.7076519448702074,0.1558617915662951,-0.40424641844214265,-0.5710741445046369,0.2083424262812958,-1.0552290411714849
473,-1.88,-0.93,-1.39,0.83,-0.62,0.09,841.15,16.174,29.41,0.312251321,0.0117,0.0595,0.0706,0.0472,0.027918578,0.000975,0.007705008,0.0329,0.0264,0.00256416,-0.004144305,-0.015246,-0.017225,-0.5504408963913404,-0.3854127235179157,-0.6040160442651512,0.2645930908474153,-0.4551108407101972,-1.0930737454970154
474,1.09,0.65,-1.93,1.87,-0.77,0.1,848.18,16.224,30.32,0.286117701,0.0113,0.0589,0.0695,0.0486,0.024101489,0.000941667,0.006007646,-0.0135,-0.008,0.006136133,-0.004144305,0.010308,0.008967,0.12625013836552185,0.1392582788336506,-0.796651040594481,0.7421172253343022,-0.531078772045101,-1.0552290411714849
475,8.22,1.02,1.14,-4.68,1.06,0.1,916.92,16.20433333,31.73,0.269654031,0.0113,0.0574,0.0685,0.0481,0.019969985,0.000941667,-0.002171553,0.0102,0.0229,0.003064828,-0.004144305,0.082774,0.081462,1.750764305980481,0.2621242730552199,0.2985145866852269,-2.2653665062898414,0.3957299902407252,-1.0552290411714849
476,6.05,4.81,0.4,-7.0,2.91,0.09,963.59,16.18466667,33.14,0.258375506,0.0107,0.0522,0.0638,0.0436,0.006443411,0.000891667,-0.001632209,0.0592,0.0471,0.002228351,-0.004144305,0.053251,0.051508,1.2563469506194063,1.5206705381896735,0.03453329541910843,-3.330612652452897,1.3326678100378717,-1.0930737454970154
477,1.42,1.66,0.11,0.51,-0.38,0.1,974.51,16.165,34.55,0.254488337,0.0092,0.0497,0.0619,0.0452,0.001255729,0.000766667,0.001089918,-0.0154,-0.0143,0.001997741,-0.004144305,0.012816,0.011351,0.20143803111628428,0.4746492360330695,-0.06891883223923533,0.11766258792837311,-0.3335621505743512,-1.0552290411714849
478,2.35,4.54,-1.24,-4.14,1.78,0.07,990.31,16.30533333,35.89333333,0.247643335,0.009,0.0549,0.0662,0.0542,0.000265438,0.00075,0.001088732,-0.0982,-0.0881,0.002046059,-0.004144305,0.017932,0.016505,0.41333118341388764,1.4310115694333931,-0.5505063230625596,-2.0174212826139577,0.7603760606482634,-1.1687631541480763
479,2.34,2.48,1.53,-2.25,2.14,0.07,1008.01,16.44566667,37.23666667,0.242856073,0.0095,0.0588,0.0701,0.0532,0.002913331,0.000791667,0.003806417,0.0166,0.0219,0.000966025,-0.004144305,0.019597,0.018014,0.4110527624214403,0.7469468448484394,0.4376398618119651,-1.1496129997483653,0.9426990958520324,-1.1687631541480763
480,-1.24,0.54,0.16,1.01,0.34,0.08,995.97,16.586,38.58,0.246541783,0.0094,0.0572,0.0679,0.049,0.007320962,0.000783333,0.003250271,0.0546,0.0503,0.001869122,-0.004144305,-0.010737,-0.012107,-0.4046219528747102,0.10273055082183272,-0.05108225850503813,0.34724149873937643,0.031083919833187007,-1.1309184498225457
481,6.08,2.71,1.97,-1.35,1.55,0.07,1050.71,16.85233333,41.96666667,0.233308967,0.0092,0.057,0.0673,0.0518,0.007210141,0.000766667,-0.001079914,-0.0283,-0.0203,0.001407576,-0.004144305,0.05556,0.05397,1.2631822135967483,0.8233230034186041,0.5946017106729005,-0.7363709602885593,0.6438918992680775,-1.1687631541480763
482,1.35,2.33,1.78,0.19,1.81,0.07,1058.2,17.11866667,45.35333333,0.233754152,0.0093,0.0565,0.0666,0.0519,0.010000513,0.000775,-0.002702703,-0.0027,0.0052,0.000919633,-0.004144305,0.009259,0.007606,0.18548908416915288,0.697136306650506,0.5268227304829511,-0.029267914990669015,0.7755696469152441,-1.1687631541480763
