,target
406,-0.0415
407,0.0535
408,-0.038
409,0.0298
410,0.0132
411,0.0015
412,0.0704
413,0.0475999999999999
414,0.0073
415,-0.0306999999999999
416,0.0318
417,-0.0246
418,-0.1607999999999999
419,0.0615
420,0.0713
421,0.061
422,0.0616
423,0.035
424,-0.0408
425,0.0345
426,0.0433
427,-0.0246
428,0.0476999999999999
429,-0.0349
430,-0.0138
431,-0.0279
432,0.0612
433,0.0337
434,0.0771999999999999
435,-0.0474
436,0.0245
437,0.052
438,-0.064
439,-0.0441999999999999
440,0.0464
441,-0.0250999999999999
442,0.0703
443,-0.0545
444,-0.0276
445,-0.1072
446,0.0118999999999999
447,0.0313
448,-0.1005
449,-0.0726
450,0.0794
451,0.0072
452,-0.0194
453,-0.0213
454,-0.0646
455,-0.0925
456,0.0246
457,0.0754
458,0.016
459,-0.0144
460,-0.0229
461,0.0424
462,-0.052
463,-0.0138
464,-0.0721
465,-0.0818
466,0.005
467,-0.1035
468,0.0784
469,0.0596
470,-0.0576
471,-0.0256999999999999
472,-0.0187999999999999
473,0.0109
474,0.0822
475,0.0605
476,0.0141999999999999
477,0.0235
478,0.0233999999999999
479,-0.0124
480,0.0608
481,0.0135
482,0.0429
483,0.0215
484,0.0139999999999999
485,-0.0132
486,-0.0183
487,0.0116999999999999
488,0.0186
489,-0.0406
490,0.0008
491,0.016
492,0.0143
493,0.0454
494,0.0343
495,-0.0276
496,0.0189
497,-0.0197
498,-0.0260999999999999
499,0.0365
500,0.0056999999999999
501,0.0392
502,-0.0121999999999999
503,0.0049
504,-0.0202
505,0.0361
506,-0.0025
507,0.0304
508,-0.003
509,0.0146
510,0.0073
511,-0.0356999999999999
512,-0.0034999999999999
513,-0.0078
514,0.0203
515,0.0184
516,0.0323
517,0.0171
518,0.0087
519,0.0139999999999999
520,-0.0196
521,0.0068
522,0.0349
523,0.0324
524,-0.0196
525,-0.0373
526,0.0092
527,0.0322
528,0.018
529,-0.0483
530,-0.0087
531,-0.0636
532,-0.0308999999999999
533,-0.0093
534,0.046
535,0.0186
536,-0.0843999999999999
537,-0.0077
538,0.0153
539,-0.0924
540,-0.1723
541,-0.0786
542,0.0174
543,-0.0812
544,-0.1009999999999999
545,0.0895
