iter	RMSE
416	5260.80632
417	5260.152392
418	5255.01116
419	5251.404536
420	5246.487518
421	5242.159537
422	5240.049133
423	5231.239378
424	5230.535912
425	5230.034238
426	5227.35804
427	5224.203281
428	5223.978523
429	5223.119451
430	5221.643568
431	5218.948674
432	5212.476738
433	5212.245821
434	5211.769273
435	5211.485908
436	5208.801097
437	5207.052295
438	5202.598452
439	5201.909017
440	5200.09142
441	5196.355582
442	5191.845134
443	5188.693654
444	5183.786448
445	5178.736404
446	5174.912284
447	5169.937829
448	5167.97397
449	5164.666204
450	5161.477321
451	5156.8236
452	5155.27528
453	5152.089939
454	5146.455878
455	5142.120665
456	5140.564919
457	5137.604954
458	5135.298835
459	5134.117429
460	5129.450916
461	5125.681345
462	5123.028194
463	5120.84906
464	5113.66359
465	5111.030621
466	5110.147678
467	5106.237445
468	5104.047566
469	5103.079815
470	5098.348671
471	5098.175393
472	5098.000904
473	5094.767237
474	5092.32237
475	5086.657843
476	5082.935175
477	5081.474187
478	5077.05303
479	5075.988687
480	5073.679829
481	5066.377619
482	5065.509383
483	5064.917238
484	5063.589675
485	5062.08454
486	5061.631414
487	5060.065376
488	5059.434544
489	5057.706917
490	5056.926851
491	5056.787104
492	5052.488147
493	5049.363302
494	5047.556425
495	5044.292542
496	5040.757077
497	5037.972455
498	5036.291951
499	5034.81217
500	5029.341643
501	5026.940637
502	5026.147682
503	5022.966425
504	5020.098723
505	5018.864776
506	5018.603132
507	5015.768277
508	5013.525106
509	5013.4685
510	5006.054679
511	4995.773434
512	4994.305845
513	4992.216865
514	4990.974728
515	4989.63689
516	4985.460734
517	4979.602649
518	4978.641036
519	4974.779561
520	4971.437173
521	4964.886116
522	4961.404923
523	4958.471489
524	4955.396763
525	4950.338843
526	4948.613238
527	4948.562011
528	4943.038613
529	4942.5944
530	4940.027713
531	4936.777809
532	4936.024578
533	4935.01552
534	4934.813727
535	4931.880531
536	4929.407591
537	4923.88685
538	4921.759876
539	4918.73164
540	4916.630498
541	4912.544191
542	4909.914051
543	4906.943126
544	4904.270792
545	4899.04854
546	4895.923761
547	4895.097098
548	4893.282813
549	4890.536744
550	4883.461379
551	4881.202142
552	4877.474811
553	4876.179165
554	4874.008075
555	4870.810851
556	4869.771856
557	4866.349709
558	4863.116164
559	4856.004088
560	4853.891068
561	4846.963092
562	4843.927404
563	4839.393179
564	4834.655103
565	4832.80171
566	4826.486038
567	4824.648184
568	4818.143299
569	4815.176589
570	4815.047791
571	4812.268073
572	4810.573334
573	4810.15878
574	4808.193887
575	4805.8955
576	4805.848667
577	4804.601892
578	4801.730858
579	4798.255713
580	4797.552231
581	4797.310829
582	4797.260358
583	4794.149869
584	4793.183007
585	4789.966897
586	4786.752388
587	4784.063187
588	4781.992357
589	4778.478002
590	4778.163143
591	4772.045509
592	4771.836726
593	4771.439761
594	4770.6201
595	4766.73539
596	4766.273916
597	4765.122784
598	4762.883467
599	4759.327056
600	4756.089866
601	4752.907499
602	4752.39265
603	4750.008693
604	4748.717572
605	4746.339166
606	4744.24277
607	4743.393327
608	4741.218297
609	4736.363155
610	4736.175397
611	4734.481361
612	4734.43302
613	4732.316149
614	4732.198652
615	4729.994045
616	4728.066654
617	4724.103505
618	4722.547965
619	4718.614278
620	4715.116288
621	4713.401242
622	4711.183674
623	4707.253976
624	4705.648919
625	4702.145119
626	4696.240111
627	4691.212901
628	4689.363241
629	4688.773434
630	4686.777342
631	4684.503946
632	4683.872775
633	4681.703873
634	4678.512478
635	4677.540035
636	4676.537216
637	4674.670931
638	4671.177502
639	4668.415813
640	4665.822567
641	4664.825773
642	4662.385713
643	4659.642779
644	4657.943326
645	4655.513358
646	4654.449597
647	4653.788873
648	4653.368752
649	4652.098351
650	4651.488435
651	4647.915221
652	4645.42539
653	4644.972916
654	4643.897855
655	4643.807912
656	4642.294593
657	4640.047752
658	4634.663631
659	4632.665738
660	4630.530379
661	4629.68569
662	4627.223097
663	4627.084201
664	4625.441909
665	4621.375565
666	4620.222544
667	4618.055391
668	4616.815998
669	4616.519845
670	4611.316322
671	4609.282558
672	4601.017653
673	4597.323386
674	4596.695079
675	4592.265964
676	4591.233018
677	4589.413615
678	4588.521798
679	4586.300664
680	4584.446544
681	4581.664929
682	4578.730453
683	4578.563195
684	4577.128862
685	4570.098617
686	4567.074822
687	4565.250028
688	4564.637551
689	4557.273912
690	4552.657558
691	4549.680078
692	4548.340805
693	4546.63789
694	4542.692312
695	4538.652465
696	4533.839469
697	4530.916737
698	4523.595291
699	4521.404158
700	4518.002808
701	4516.212579
702	4512.464589
703	4511.29651
704	4504.119357
705	4502.353593
706	4496.351988
707	4495.831056
708	4494.793414
709	4492.197766
710	4491.516599
711	4487.30536
712	4481.401565
713	4480.578108
714	4477.694274
715	4475.763606
716	4475.420954
717	4470.095612
718	4465.407589
719	4463.003658
720	4457.767899
721	4455.837489
722	4453.296192
723	4451.794582
724	4449.234208
725	4441.015983
726	4433.935616
727	4430.132357
728	4429.290345
729	4427.000211
730	4424.783553
731	4423.666011
732	4419.726929
733	4417.430666
734	4417.15834
735	4415.151092
736	4413.438118
737	4411.369292
738	4407.535365
739	4405.702441
740	4405.260993
741	4403.05501
742	4401.7975
743	4399.992458
744	4394.648689
745	4389.779593
746	4383.978925
747	4380.204981
748	4376.517335
749	4374.827355
750	4374.588792
751	4373.526723
752	4372.495133
753	4369.098642
754	4364.062482
755	4362.501313
756	4362.021526
757	4357.982907
758	4356.105163
759	4354.226575
760	4348.421865
761	4342.517206
762	4342.079422
763	4338.933734
764	4337.561135
765	4331.415354
766	4327.841977
767	4323.745039
768	4322.82667
769	4320.935402
770	4317.860609
771	4317.062436
772	4315.221849
773	4308.685453
774	4304.937862
775	4301.8967
776	4301.184067
777	4299.089916
778	4295.202197
779	4288.606595
780	4286.246279
781	4283.28741
782	4281.735596
783	4280.045567
784	4278.275833
785	4277.895845
786	4276.617427
787	4276.142177
788	4274.492146
789	4272.765101
790	4269.028329
791	4268.47284
792	4266.652603
793	4266.259039
794	4263.258684
795	4262.714207
796	4258.160169
797	4256.346699
798	4255.583505
799	4254.299119
800	4252.066089
801	4250.198103
802	4249.924909
803	4247.236269
804	4246.358523
805	4239.441274
806	4237.229661
807	4233.264426
808	4229.538842
809	4226.128597
810	4224.097041
811	4223.017248
812	4221.53338
813	4220.37978
814	4219.111418
815	4214.970962
816	4210.6048
817	4208.60976
818	4203.778041
819	4201.56992
820	4197.568803
821	4196.539167
822	4190.530076
823	4186.028441
824	4185.228749
825	4178.864194
826	4176.193941
827	4170.742152
828	4167.488693
829	4167.194159
830	4164.006229
831	4159.866185
832	4158.760652
833	4158.44438
834	4155.405063
835	4150.22493
836	4148.734076
837	4145.020336
838	4142.518117
839	4140.668163
840	4139.278316
841	4138.929259
842	4136.741967
843	4131.728464
844	4130.81656
845	4127.843931
846	4126.630455
847	4125.447787
848	4120.911271
849	4117.962691
850	4116.007958
851	4111.249617
852	4108.993184
853	4108.8368
854	4107.372233
855	4106.021319
856	4100.804011
857	4100.681242
858	4098.505008
859	4097.859852
860	4093.371152
861	4092.434177
862	4090.15988
863	4089.600071
864	4088.234078
865	4084.802451
866	4081.634265
867	4078.771759
868	4076.674967
869	4073.193889
870	4071.167469
871	4067.774017
872	4061.814788
873	4055.543697
874	4053.807515
875	4052.043478
876	4050.567895
877	4049.323694
878	4046.420554
879	4044.330075
880	4043.675455
881	4042.992089
882	4041.503321
883	4040.415882
884	4034.12388
885	4030.969917
886	4030.686391
887	4030.631357
888	4030.492273
889	4028.132203
890	4024.521434
891	4022.592499
892	4022.053086
893	4019.18578
894	4017.696857
895	4012.784005
896	4009.200469
897	4007.320187
898	4006.275023
899	4002.215296
900	3999.072785
901	3998.095851
902	3996.948849
903	3996.306166
904	3996.016578
905	3992.341254
906	3988.780282
907	3983.042779
908	3982.380181
909	3981.398266
910	3978.468255
911	3978.194182
912	3976.362976
913	3973.591279
914	3970.922482
915	3970.574028
916	3970.437818
917	3970.093495
918	3968.156289
919	3964.668743
920	3961.678414
921	3961.054711
922	3960.306912
923	3956.753831
924	3955.418354
925	3951.60561
926	3948.577624
927	3945.011522
928	3943.078677
929	3942.851398
930	3942.078988
931	3941.60465
932	3940.085745
933	3939.615925
934	3936.522262
935	3934.797141
936	3930.841439
937	3927.832834
938	3926.041366
939	3921.606038
940	3917.403004
941	3915.704047
942	3914.696256
943	3912.905438
944	3908.846806
945	3905.96545
946	3904.232908
947	3899.556726
948	3898.94533
949	3895.591509
950	3889.707187
951	3888.183375
952	3886.318241
953	3882.316924
954	3881.071678
955	3878.873359
956	3878.766204
957	3874.280177
958	3873.277898
959	3872.077979
960	3870.756147
961	3869.086692
962	3868.373705
963	3866.436959
964	3865.953043
965	3863.803952
966	3862.46907
967	3861.630694
968	3858.817012
969	3855.134595
970	3851.701681
971	3850.543499
972	3847.859844
973	3842.932813
974	3842.797082
975	3842.732572
976	3837.950334
977	3837.518265
978	3834.73906
979	3833.558217
980	3829.047908
981	3828.678941
982	3828.558988
983	3827.722448
984	3826.299649
985	3825.214766
986	3821.507637
987	3820.119323
988	3816.681567
989	3813.584103
990	3812.21824
991	3811.952949
992	3810.787318
993	3808.714845
994	3805.232617
995	3802.349898
996	3801.078796
997	3797.867096
998	3796.273179
999	3790.154249
