PC1,PC2,Ticker,Cluster
-2.0342759896989255,-0.012433654561431078,NEWM,0
-1.180221822084075,-0.055091510365947234,DMO,0
4.841416782897004,0.14211886962919645,VMW,3
4.654538723466003,-0.20594599568959673,CCI,3
-0.35451764850947864,-0.12969321300792497,MNK,0
3.0651805252198745,0.26526956454949707,CMD,3
-2.607414684285245,-0.023947288335531648,MTU,0
-2.661886600738169,-0.006017336569187205,XIN,0
-2.3655786947587454,-0.02993118165652836,INB,0
-1.6766984544338206,-0.06262316688400912,BOX,0
-1.4651631089681971,-0.04049443408032505,KBH,0
-1.1574038827069297,-0.03962398900908034,DTJ,0
2.7417168604553703,0.06338301787556386,ARW,3
-2.0489850438166717,-0.0009623223284162718,PGTI,0
-0.11875897731830794,0.014348986151455266,NLSN,0
1.818170376349847,0.13136435855293688,SLB,0
-2.7187138144005374,-0.03664256014097118,ONDK,0
-0.4825650975761534,0.008102659723390986,CAA,0
-2.3878943849948016,-0.035105877827261,SNR,0
-0.6451529042403817,0.021160248711263926,BHE,0
1.1957975504982437,0.05867557143191458,TGT,0
-0.9791881361755722,-0.029563166173153514,RZB,0
-2.621098948444607,-0.04132469137515191,IRET,0
-1.1471662865717172,-0.03282140227860222,MHLA,0
-1.9134069474167874,-0.012556523228894187,EDI,0
-0.33237909486489525,0.06530829744089602,GWB,0
-1.1754522864193373,-0.030901332252408126,AFC,0
-1.3088060916748119,-0.05100270152448263,WLKP,0
0.09230535885371156,-0.18952988451439415,AHL,0
-1.9465498149516103,-0.031219465694343133,BAF,0
-1.3239528447544908,-0.04044566819511027,BBN,0
2.936126546277986,-0.26354790512443266,KOF,3
3.5820061822169684,0.3055389398072962,KAI,3
-2.2138810587503492,-0.04850070744100972,PAH,0
6.191484526214524,0.28984255545534415,HRS,3
-2.895804105450739,-0.03820111543022592,SXE,0
-1.906320933222494,0.012443615128811637,NCI,0
-2.8708011758749747,-0.035254838273108526,LUB,0
-2.5509770537394076,-0.03261467708143546,GNT,0
0.0027454041522488168,0.17303110307527567,HES,0
-2.359334839281639,0.0073302912179300924,OOMA,0
0.31485277223291436,0.14141461860901056,COP,0
1.4633940984135665,-0.143898742965889,UAL,0
3.7999247868145476,0.2527531648578779,JBT,3
-2.4282606845153363,-0.01403622943941404,PVG,0
-1.4117682049693798,-0.008606834487016891,NHF,0
0.34328745739298316,-0.0019764374295325655,CIB,0
1.490975096686437,-0.02196209079997001,PAM,0
0.2834696454477216,-0.024297019856370082,BID,0
-2.5312124107421816,-0.0335391253213767,FT,0
-1.888739053727784,0.006851341508889316,PGEM,0
0.6040969484762807,0.030007102213741303,RPM,0
-2.3366517799415862,-0.03447859755091292,CBH,0
-2.160383845106591,-0.0399688505256417,NTC,0
-2.6332357709818672,-0.04510105125763526,WIT,0
-1.1124801951364902,0.07340560992316462,LPX,0
-0.8577654177826873,-0.015619282551324934,GPT,0
-2.9576701399482093,-0.03790963471513392,DAC,0
-2.229902324243021,-0.022926783475072304,ETY,0
1.8240610700707711,-0.011869308986096968,DYNC,0
-2.1132361085064124,0.021362079675723844,RGS,0
-0.07565625024256577,0.0892567226791215,FLS,0
8.18245139090625,0.19383987364842367,SAM,3
-0.8040493889210756,0.012135945943616517,TTM,0
