,ask,histvol,timetoexpiry,strike
count,1000.0,1000.0,1000.0,1000.0
mean,3.8617799999999995,0.2602580123079884,101.571,46.43751
std,8.114198200934215,0.18841680108699652,107.17523730083592,46.311193374082166
min,0.0,0.0193473334685663,6.0,0.5
25%,0.4,0.14722486185599876,20.0,15.0
50%,1.2,0.2181748356707895,76.0,30.0
75%,3.725,0.31775110104989573,139.0,65.0
max,80.5,2.59506802575067,839.0,330.0
