ISOMAP1,ISOMAP2,Ticker,Sector,Cluster,DistanceFromCenter
-2.1499716211329765,-0.155768125287654,NEWM,Consumer Services,0,2.155607032956793
-1.2083612234704342,-0.062287404017944956,DMO,,0,1.209965523098183
5.132470820865592,0.6121400771222048,VMW,Technology,3,5.168846312384989
4.957332396036933,0.5793162322801805,CCI,Consumer Services,3,4.9910671986841235
-0.3672769946717608,0.035546516246908424,MNK,Health Care,0,0.368993151199873
3.317303606519819,0.31001717703020254,CMD,Health Care,3,3.331758374774974
-2.724101267489572,-0.20855514120195306,MTU,Finance,0,2.7320730155799384
-2.7863753469812167,-0.21354629523083477,XIN,Basic Industries,0,2.794546402275602
-2.4791535350580887,-0.187649486544589,INB,,0,2.4862450764539417
-1.7294068867950525,-0.10556316314465404,BOX,Technology,0,1.7326256841878052
-1.4954012569626964,-0.09807555244908568,KBH,Capital Goods,0,1.4986139373814078
-1.176723318391343,-0.07261739448001817,DTJ,Public Utilities,0,1.1789618543561962
2.968277690481272,0.317378519051661,ARW,Consumer Non-Durables,3,2.985197074258961
-2.1672683264867323,-0.15644699491966227,PGTI,Capital Goods,0,2.172907651330814
-0.11416860676725644,0.042705612607516714,NLSN,Miscellaneous,0,0.12189438099994489
1.966829621526793,0.22939324523354,SLB,Energy,0,1.9801616148875332
-2.836836021980349,-0.21814010099663875,ONDK,Finance,0,2.845210663425138
-0.48032534900600765,-0.0012516230922170529,CAA,Capital Goods,0,0.48032697973162825
-2.501948733956575,-0.18958381281180572,SNR,Consumer Services,0,2.509121258414422
-0.6652368777151779,0.029826626951176036,BHE,Technology,0,0.6659051968167264
1.301939971754824,0.2179615380240206,TGT,Consumer Services,0,1.3200586813133528
-0.9940005427224429,-0.056150692713766506,RZB,Finance,0,0.9955852445796627
-2.7388533068378034,-0.20977151761986348,IRET,Consumer Services,0,2.7468748653662605
-1.1659077384360081,-0.07025397419858483,MHLA,Finance,0,1.1680224635834975
-2.018534119570193,-0.14587100574105924,EDI,,0,2.0237979993529303
-0.3426282035101456,0.06464953097188672,GWB,Finance,0,0.34867412822788374
-1.1945716043705903,-0.07396966487599363,AFC,,0,1.1968595695779822
-1.3324000580124418,-0.08659482880877599,WLKP,Basic Industries,0,1.3352110615808945
0.09320994504847656,0.13926497993532025,AHL,Finance,0,0.16757932000197748
-2.049866887701714,-0.14991929252521596,BAF,,0,2.0553418332645235
-1.350794857993209,-0.08744107174197151,BBN,,0,1.3536220629881437
3.1354635925060856,0.8841270009687013,KOF,Consumer Non-Durables,3,3.257731188077537
3.8703680682904333,0.3601252727776358,KAI,Technology,3,3.887086208991947
-2.3291066311114474,-0.17382603586116918,PAH,Basic Industries,0,2.3355841217628033
6.535614788354691,0.4862525625878284,HRS,Capital Goods,3,6.553678525559806
-3.017779061562941,-0.2334546512426578,SXE,Public Utilities,0,3.026795589165964
-2.0190069619460176,-0.14117406085502593,NCI,Consumer Services,0,2.0239365671494713
-2.9925053608500263,-0.23132040116066946,LUB,Consumer Services,0,3.001432568409505
-2.6666071623708314,-0.2036754079476269,GNT,,0,2.674374212822516
0.03304212082842374,0.10870368724926997,HES,Energy,0,0.11361458256063459
-2.490152646392045,-0.18640001805606185,OOMA,Technology,0,2.497119374211935
0.35854216207353523,0.18197150104229806,COP,Energy,0,0.40207724279788865
1.5707789306773043,0.21649568064486552,UAL,Transportation,0,1.5856282126645007
4.090418421028783,0.3938376645490328,JBT,Technology,3,4.109334613426976
-2.545375138567272,-0.19281863874523011,PVG,Basic Industries,0,2.55266794226823
-1.4464484704907503,-0.08613047377393876,NHF,,0,1.4490105714926838
0.38878094924932793,0.0916615824341216,CIB,Finance,0,0.3994401985197982
1.6193776813797665,0.18094880187424725,PAM,Public Utilities,0,1.6294559042363295
0.33231682155959563,0.09836731851879994,BID,Miscellaneous,0,0.3465697610064259
-2.646751046585483,-0.20199070237241898,FT,,0,2.6544474653769763
-1.9996996962968887,-0.1411290289479639,PGEM,Basic Industries,0,2.0046736088904007
0.6792076300524208,0.1288928061775691,RPM,Basic Industries,0,0.6913294151168128
-2.4503133782028854,-0.18501861809321,CBH,,0,2.45728865631231
-2.2739652289175365,-0.16933599029733926,NTC,,0,2.2802615069188805
-2.7512857875470247,-0.21079525441622815,WIT,Technology,0,2.759349221110415
-1.1695332984900728,0.015884525156218087,LPX,Basic Industries,0,1.1696411648093223
-0.8749466312897198,-0.02665199754098422,GPT,Consumer Services,0,0.8753524641983672
-3.0799652528814674,-0.23871024921654407,DAC,Transportation,0,3.0892019263942956
-2.3422109785861016,-0.1758506434257665,ETY,,0,2.3488030392100825
1.9803552391058343,0.263399780819562,DYNC,Public Utilities,0,1.9977953642927795
-2.250955940574645,-0.1609481143251298,RGS,Consumer Services,0,2.2567026702499158
-0.0544193469717817,0.06708028087207475,FLS,Capital Goods,0,0.08637840822052467
8.543144756016375,0.423576543201424,SAM,Consumer Non-Durables,3,8.553638957204154
-0.8393146565058311,-0.006626130869471918,TTM,Capital Goods,0,0.8393408117301343
-1.4174889949624787,-0.0826227317246611,ALLY,Finance,0,1.4198949139416561
-2.1590473063200366,-0.1597007253573398,BGT,,0,2.1649456327140104
3.0001614285592924,0.3659904140414982,XOM,Energy,3,3.0224026172211405
3.030625351823478,0.35255448971709724,TNH,Basic Industries,3,3.0510628789546215
6.368105166477013,1.008406259957112,URI,Technology,3,6.44745272153522
-1.1738755236534977,-0.07210126956711417,TDI,Public Utilities,0,1.1760877255145397
-1.7565774306580735,-0.12442220795040496,APTS,Consumer Services,0,1.7609784654357852
